Festival Name,Start Date,End Date
Hill Country Film Festival,5/7/20,5/10/20
Hobnobben Film Festival,10/9/20,10/11/20
HollyShorts ,8/13/20,8/22/20
Hollywood Comedy Shorts,4/23/20,4/26/20
Hollywood Horrorfest,8/7/20,8/8/20
Hollywood Reel Independent Film Festival,2/12/20,2/24/20
Hollywood Short Film Festival,1/11/20,1/11/20
Honolulu Rainbow Film Festival,8/13/20,8/16/20
Horrible Imaginings Film Festival,8/28/20,8/30/20
Horror Haus,10/23/20,10/25/20
HorrorHound Weekend Film Festival,3/20/20,3/22/20
Hot Springs Documentary Film Festival,10/9/20,10/17/20
Hot Springs International Horror Film Festival,9/24/20,9/27/20
Houston Comedy Film Festival,4/18/20,4/18/20
Houston Jewish Film Festival,3/21/20,4/1/20
Houston Latino Film Festival,3/19/20,3/22/20
Houston Palestine Film Festival,4/24/20,5/4/20
Humboldt International Film Festival,4/24/20,4/28/20
Idyllwild International Festival of Cinema,3/9/20,3/15/20
ImageOut: The Rochester LGBT Film and Video Festival,10/8/20,10/18/20
Imagine This Women's International Film Festival,9/25/20,9/27/20
In/Motion Chicago's International Dance Film Festival,2/21/20,2/23/20
Independent Film Festival of Boston,4/22/20,4/29/20
Indian Film Festival of Los Angeles,4/1/20,4/5/20
Indie Fest USA International Film Festival,10/22/20,10/25/20
"Indie Gathering, The ",8/13/20,8/16/20
Indie Grits ,3/26/20,3/29/20
Indie Horror Film Festival,9/5/20,9/5/20
Indie Memphis Film Festival,10/21/20,10/26/20
Indie Street Film Festival,7/22/20,7/26/20
Indigo Moon Film Festival,10/9/20,10/11/20
Indy Film Fest,4/30/20,5/10/20
Indy Shorts International Film Festival,7/21/20,7/26/20
InterFaith Film & Music Festival,12/10/20,12/13/20
International Black Film Festival (Nashville),9/29/20,10/4/20
International Buddhist Film Festival,5/29/20,6/28/20
International Christian Film Festival,5/13/20,5/16/20
International Exhibition of Super Short Films,11/14/20,11/14/20
International Filmmaker Festival of New York,5/15/20,5/19/20
International Horror & Sci-Fi Film Festival,3/26/20,4/5/20
"International Horror Hotel, The",6/11/20,6/14/20
International Maritime Film Festival,9/25/20,9/27/20
International Oceean Film Festival,3/12/20,3/15/20
International Puerto Rican Heritage Film Festival,11/11/20,11/15/20
International Wildlife Film Festival,4/18/20,4/25/20
Interrobang Film Festival,6/26/20,6/28/20
Iowa City International Documentary Film Festival,4/30/20,5/2/20
Iranian Film Festival - San Francisco,9/19/20,9/20/20
Irish American Movie Hooley,9/25/20,9/27/20
Irish Film Festival Boston,3/19/20,3/22/20
Irvine International Film Festival,3/7/20,3/7/20
Italian Film Festival USA,4/1/20,4/30/20
Ivy Film Festival,4/13/20,4/19/20
Jersey Shore Film Festival,6/23/20,6/30/20
JFilm Festival,4/23/20,5/3/20
Josiah Media Festival (Urban 15),10/15/20,10/17/20
Julien Dubuque International Film Festival ,4/22/20,4/26/20
KAFFNY Infinite Cinema,10/22/20,10/25/20
Kansas City Film Fest,4/15/20,4/19/20
Kansas International Film Festival,11/6/20,11/12/20
Kew Gardens Festival of Cinema,8/7/20,8/16/20
Key West Film Festival,11/18/20,11/22/20
Kicking + Screaming Soccer Film Festival,6/9/20,6/12/20
KidFilm Festival,1/25/20,1/26/20
Kids' Video Connection Children's Film Festival,6/11/20,6/27/20
KidsFilmFest,5/30/20,5/30/20
Kinetiscope: International Screendance Film Festival,1/11/20,1/12/20
LA Dance Film Festival,2/8/20,2/8/20
La Femme Film Festival,10/15/20,10/18/20
LA Indie Film Festival,2/13/20,2/22/20
La Jolla International Fashion Film Festival,7/24/20,7/25/20
LA Shorts International Film Festival,7/15/20,7/23/20
Lady Filmmakers Festival,9/23/20,9/27/20
Lady Wild Film Fest,1/11/20,1/11/20
Lake Arrowhead Film Festival,5/29/20,5/31/20
Lake Charles Film & Music Festival,10/2/20,10/3/20
"Lake County Film Festival, The",11/5/20,11/15/20
Lake Travis Film Festival,2/27/20,3/1/20
Lancaster International Short Film Festival,6/12/20,6/13/20
Las Cruces International Film Festival,3/4/20,3/8/20
Las Vegas Black Film Festival,4/23/20,4/26/20
Las Vegas Film Festival,5/28/20,5/31/20
Laugh or Die Comedy Fest,4/25/20,4/25/20
LDS Film Festival,2/24/20,2/29/20
Legacy of Black Women Film Showcase,1/17/20,1/19/20
Les Bois Film Festival,3/7/20,3/7/20
Les Femmes Underground International Film Festival,9/26/20,9/26/20
Life Fest Film Festival,5/1/20,5/3/20
Life In Motion: A Colorado Dance Film Festival,2/22/20,2/22/20
Light Field,3/15/20,3/20/20
Lighthouse International Film Festival,6/4/20,6/7/20
Literally Short Film Festival,6/3/20,6/7/20
Lone Star Film Festival,11/4/20,11/8/20
Long Beach International Film Festival,7/29/20,8/2/20
Long Beach QFilm Festival,9/10/20,9/13/20
Long Island International Film Expo,7/10/20,7/16/20
Longleaf Film Festival,5/8/20,5/9/20
Longwood Animation Film Festival,2/21/20,2/28/20
Lookout Wild Film Festival,1/16/20,1/19/20
Los Angeles Animation Festival,12/5/20,12/6/20
Los Angeles Asian Pacific Film Festival,4/30/20,5/8/20
Los Angeles Diversity Film Festival,8/26/20,8/29/20
Los Angeles Greek Film Festival,4/27/20,5/3/20
Los Angeles International Children’s Film Festival,4/10/20,4/19/20
Los Angeles International Underground Film Festival,6/20/20,6/21/20
Los Angeles Jewish Film Festival,4/30/20,5/7/20
Los Angeles Latino International Film Festival,6/3/20,6/7/20
Los Angeles Reel Film Festival,5/16/20,5/17/20
Los Angeles Short Film Festival,3/14/20,3/15/20
Los Angeles Women's International Film Festival,1/10/20,1/12/20
"Los Angeles, Italia",2/2/20,2/8/20
Louisville Jewish Film Festival,2/8/20,3/3/20
Louisville's International Festival of Films,11/5/20,11/7/20
Love Horror Short Film Festival,7/18/20,7/18/20
Love International Film Festival,9/18/20,9/21/20
Love Your Shorts Film Festival,2/13/20,2/16/20
"Lower East Side Film Festival, The",6/11/20,6/15/20
Macabre Faire Film Festival,1/16/20,1/16/20
Macon Film Festival,8/13/20,8/16/20
Magnolia Independent Film Festival,2/27/20,2/29/20
Maine International Film Festival,7/10/20,7/19/20
Maine Outdoor Film Festival,7/31/20,8/2/20
Malibu International Film Festival,6/10/20,6/11/20
Mammoth Lakes Film Festival,5/20/20,5/24/20
Manhattan Film Festival,4/23/20,5/7/20
Manhattan Short Film Festival,9/24/20,10/4/20
Martha's Vinyard Film Festival,3/19/20,3/22/20
Martha's Vinyard International Film Festival,9/8/20,9/13/20
Maryland Film Festival,4/29/20,5/3/20
Maryland International Film Festival,3/27/20,3/29/20
"Massachusettes Independent Film Festival, The ",9/10/20,9/12/20
Maui Film Festival,6/17/20,6/21/20
McMinnville Short Film Festival,2/21/20,2/23/20
ME Film Festival,5/18/20,5/24/20
Media Film Festival,4/2/20,4/4/20
"Melbourne Independent Filmmakers Festival, The",10/22/20,10/24/20
Mendocino Film Festival,5/28/20,5/31/20
"Method Fest Independent Film Festival, The ",3/20/20,3/26/20
Miami Film Festival,3/6/20,3/15/20
Miami Independent Film Festival,6/5/20,7/5/20
Miami International Science Fiction Film Festival,2/14/20,2/16/20
Miami Jewish Film Festival ,1/9/20,1/20/20
Miami Short Film Festival,11/9/20,11/14/20
Middleburg Film Festival,10/15/20,10/18/20
Middlebury New Filmmakers Festival ,8/27/20,8/30/20
Midwest WeirdFest,3/6/20,3/8/20
Mill Valley Film Festival,10/8/20,10/18/20
Milwaukee Film Festival ,10/15/20,10/29/20
Milwaukee Short Film Festival,9/11/20,9/12/20
Milwaukee Twisted Dreams Film Festival,4/16/20,4/19/20
Milwaukee Underground Film Festival,4/23/20,4/26/20
Minneapolis-St. Paul International Film Festival,4/9/20,4/30/20
MisCon International Short Film Festival,5/22/20,5/25/20
Monadnock International Film Festival,4/24/20,4/26/20
Monarch Film Festival,9/11/20,9/12/20
Monmouth Film Festival,8/14/20,8/16/20
MONO NO AWARE,12/3/20,12/12/20
Montana Film Festival,10/8/20,10/11/20
Montclair Film Festival,5/1/20,5/10/20
Montgomery Film Festival,7/24/20,7/25/20
Mosaic World Film Festival,9/18/20,9/20/20
Motor City Nightmares International Film Festival,4/24/20,4/26/20
Mountainfilm,5/22/20,5/25/20
