Object ID,Last Year's Month,ADDRESS,Primary Category for Calendar,Category,GA,Festival Name,Website,FilmFreeway / Submissions,Date Changes & Cancellations due to COVID-19,Start Date,End Date,City,State,First Submission Deadline,Last Submission Deadline,Oscar Qualifying (Short Subject),Oscar Qualifying (Doc Short),Film Fest Alliance,Category Start,General,Documentary,Short,Women's,LGBTQ+,Jewish,"Black, African, Afr. Am. (etc)","Asian, As. Am. (etc)","Latino, Latin American (etc)","Native American, Indigenous (etc)","Muslim, Arab, Arab Am. (etc)","Misc. Ethnic, Cultural, Foreign Focus (etc)","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)",Horror,Underground,Animation,Comedy,Student,Misc. Niche,"Environment, Outdoor, Adventure, Wildlife","Social Justice, Peace",Children's,Dance,Christian,"Experimental, Video Art (etc)"
833,11,"2919 Maxwell St., 90027 Los Angeles, California",Misc. Niche,Misc. Niche,,Arpa International Film Festival,http://www.arpafilmfestival.com/,https://filmfreeway.com/ArpaFilmFestival,,tbd,tbd,Los Angeles,CA,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
30,,"180 Remsen Street, Brooklyn, New York 11201",General,General,,"Art of Brooklyn Film Festival, The ",https://www.theartofbrooklyn.org/,https://filmfreeway.com/ArtofBrooklynFilmFestival,Switched to virtual; June 1-10,6/1/2020,6/7/2020,Brooklyn,NY,11/1/2019,4/21/2020,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
31,,"2633 Lincoln Blvd. #254 Santa Monica, CA 90405 United States",Women's,Women's,,Artemis Women in Action Film Festival ,http://www.artemisfilmfestival.com/,https://filmfreeway.com/ArtemisWomenInActionFilmFestival,,4/22/2020,4/25/2020,Santa Monica,CA,6/30/2019,11/30/2019,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
32,10,"New York, NY 10026",General,General,,"Artists Forum Festival of the Moving Image, The",http://theartistsforum.org/,https://filmfreeway.com/affestnyc,,10/15/2020,10/17/2020,New York,NY,1/15/2020,5/31/2020,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
33,3,"36 Biltmore Ave, Asheville, NC 28801",Jewish,Jewish,,Asheville Jewish Film Festival,http://ajff.fineartstheatre.com/,---,,tbd,tbd,Asheville,NC,tbd,tbd,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
34,,"166 E Main St, Ashland, OR 97520",General,General,,Ashland Independent Film Festival,http://www.ashlandfilm.org/,https://filmfreeway.com/ashlandfilm,"Canceled, working on new plan",4/16/2020,4/20/2020,Ashland,OR,10/18/2019,11/29/2019,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
35,7,"Made In NY Media Center 30 John Street Brooklyn, NY 11201 United States","Asian, As. Am. (etc)",Asian/Asian American,,Asian American International Film Festival,http://www.asiancinevision.org/,---,,tbd,tbd,Brooklyn,NY,tbd,tbd,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
964,,"164 North State Street, Chicago, Illinois 60601 United States","Asian, As. Am. (etc)","Asian, As. Am. (etc)",,"Asian American Showcase, The",http://www.faaim.org,https://filmfreeway.com/FAAIM,Canceled/Postponed until further notice,4/3/2020,4/16/2020,Chicago,IL,1/31/2020,2/29/2020,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
36,,"3630 Harry Hines Boulevard, Dallas, TX 75219 United States","Asian, As. Am. (etc)",Asian/Asian American,,Asian Film Festival of Dallas,http://asianfilmdallas.com/,https://filmfreeway.com/affd,Cancelled,7/16/2020,7/23/2020,Dallas,TX,2/15/2020,3/31/2020,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
921,,"1049 Ponce De Leon Avenue Northeast, Atlanta, Georgia 30306 United States",Animation,"Animation, Short",,ASIFA-South Animation Conference and Festival,http://www.asifa-south.com,https://filmfreeway.com/asifasouth,All events virtual or online,6/6/2020,6/7/2020,Atlanta,GA,5/1/2019,11/30/2019,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
